0	0.865	0.865	22	3
1	0.865	0.865	44	1
2	0.865	0.865	14	0
3	0.865	0.865	5	1
4	0.865	0.865	12	4
5	0.865	0.862	20	4
6	0.865	0.862	14	1
7	0.865	0.856	36	2
8	0.865	0.856	48	2
9	0.865	0.856	1	4
10	0.865	0.816	38	3
11	0.865	0.816	16	4
12	0.865	0.816	6	3
13	0.865	0.816	8	1
14	0.865	0.816	33	0
15	0.865	0.816	31	1
16	0.865	0.816	11	1
17	0.865	0.816	0	5
18	0.865	0.846	45	5
19	0.865	0.846	12	1
20	0.865	0.846	8	0
21	0.865	0.846	2	4
22	0.865	0.846	49	2
23	0.865	0.846	40	2
24	0.865	0.855	21	3
25	0.865	0.855	49	4
26	0.865	0.855	44	2
27	0.882	0.882	19	5
28	0.882	0.882	13	0
29	0.882	0.882	4	4
30	0.882	0.882	46	5
31	0.882	0.882	33	0
32	0.882	0.882	3	0
33	0.882	0.882	28	5
34	0.882	0.882	14	5
35	0.882	0.882	31	0
36	0.882	0.882	12	4
37	0.882	0.882	29	4
38	0.882	0.882	24	3
39	0.882	0.882	43	3
40	0.892	0.892	38	4
41	0.892	0.892	40	0
42	0.892	0.892	9	4
43	0.892	0.892	23	4
44	0.892	0.892	46	0
45	0.892	0.892	31	4
46	0.892	0.892	42	3
47	0.892	0.892	18	1
48	0.892	0.883	18	5
49	0.892	0.883	37	5
50	0.892	0.883	47	4
51	0.892	0.883	6	3
52	0.892	0.883	0	5
53	0.892	0.883	30	0
54	0.892	0.883	46	3
55	0.892	0.883	22	4
56	0.892	0.883	10	2
57	0.892	0.883	51	0
58	0.892	0.883	6	3
59	0.892	0.883	49	1
60	0.892	0.883	32	4
61	0.892	0.883	5	1
62	0.892	0.883	11	4
63	0.892	0.883	12	4
64	0.892	0.883	22	1
65	0.892	0.856	19	3
66	0.892	0.856	41	5
67	0.892	0.856	37	5
68	0.892	0.856	32	1
69	0.892	0.856	0	1
70	0.892	0.856	10	2
71	0.892	0.856	43	1
72	0.892	0.856	34	5
73	0.892	0.856	32	2
74	0.892	0.856	26	1
75	0.892	0.856	6	4
76	0.892	0.856	51	2
77	0.892	0.856	14	0
78	0.892	0.856	35	5
79	0.892	0.856	18	1
80	0.892	0.856	35	5
81	0.892	0.856	34	3
82	0.892	0.856	13	5
83	0.892	0.856	49	1
84	0.892	0.856	37	0
85	0.892	0.856	26	5
86	0.892	0.832	31	4
87	0.892	0.832	4	1
88	0.892	0.832	50	5
89	0.892	0.832	26	2
90	0.892	0.832	7	5
91	0.892	0.832	11	1
92	0.892	0.832	9	3
93	0.892	0.846	28	2
94	0.892	0.846	35	3
95	0.892	0.846	14	4
96	0.892	0.846	43	4
97	0.892	0.846	30	2
98	0.892	0.846	36	1
99	0.892	0.846	51	4
100	0.892	0.846	47	2
101	0.892	0.828	33	2
102	0.892	0.828	36	1
103	0.892	0.828	7	1
104	0.892	0.828	19	0
105	0.892	0.828	7	5
106	0.892	0.828	23	5
107	0.892	0.828	4	4
108	0.892	0.846	33	2
109	0.892	0.825	21	3
110	0.892	0.846	17	3
111	0.892	0.846	29	0
112	0.892	0.846	39	5
113	0.892	0.846	4	4
114	0.892	0.846	4	4
115	0.892	0.846	28	4
116	0.892	0.846	44	4
117	0.892	0.846	22	4
118	0.892	0.846	10	4
119	0.892	0.846	26	5
120	0.892	0.846	25	1
121	0.892	0.846	50	3
122	0.892	0.846	24	2
123	0.892	0.846	11	5
124	0.892	0.846	36	4
125	0.892	0.846	36	1
126	0.892	0.846	43	2
127	0.892	0.846	23	1
128	0.892	0.846	42	3
129	0.892	0.846	36	5
130	0.892	0.846	5	1
131	0.892	0.846	11	3
132	0.892	0.846	24	2
133	0.892	0.846	51	4
134	0.892	0.846	29	1
135	0.892	0.826	31	5
136	0.892	0.826	49	2
137	0.892	0.826	7	0
138	0.892	0.778	33	5
139	0.892	0.778	32	1
140	0.892	0.778	32	1
141	0.892	0.778	6	1
142	0.892	0.778	2	1
143	0.892	0.778	46	2
144	0.892	0.778	14	0
145	0.892	0.778	49	3
146	0.892	0.778	2	3
147	0.892	0.778	45	1
148	0.892	0.778	2	1
149	0.892	0.778	9	0
150	0.892	0.778	22	2
151	0.892	0.778	14	2
152	0.892	0.778	9	4
153	0.892	0.868	15	2
154	0.892	0.868	11	2
155	0.892	0.886	34	5
156	0.892	0.886	48	2
157	0.892	0.886	13	5
158	0.892	0.886	10	5
159	0.892	0.862	30	1
160	0.892	0.832	27	3
161	0.892	0.832	23	2
162	0.892	0.817	17	5
163	0.892	0.817	43	1
164	0.892	0.817	28	5
165	0.892	0.817	2	1
166	0.892	0.817	37	3
167	0.892	0.817	46	0
168	0.892	0.817	50	4
169	0.892	0.817	6	1
170	0.892	0.817	51	2
171	0.892	0.817	13	5
172	0.892	0.817	23	0
173	0.892	0.817	37	3
174	0.892	0.817	19	0
175	0.892	0.817	50	0
176	0.892	0.817	38	0
177	0.892	0.817	26	5
178	0.892	0.817	1	4
179	0.892	0.817	2	1
180	0.892	0.817	50	5
181	0.892	0.817	43	1
182	0.892	0.817	16	2
183	0.892	0.817	10	2
184	0.892	0.817	25	0
185	0.892	0.787	47	2
186	0.892	0.787	40	2
187	0.892	0.787	10	0
188	0.892	0.787	13	3
189	0.892	0.787	0	1
190	0.892	0.787	11	1
191	0.892	0.805	48	3
192	0.892	0.805	51	
