ѕараметры Ё¬ћ [1,2,3]: общее врем€ работы с момента вкл, общее врем€ выполни€ задачи, общее врем€ ошидани€ задачи, общее врем€ ожидание задачь в очереди, задачь выполнено

0	[[337.2922, 307.4577, 29.8345, 8.8453, 6.8825, 105, 2.9282, 16], [334.2824, 303.7367, 30.5456, 9.1377, 4.7134, 101, 3.0073, 11], [412.6346, 404.0243, 8.6103, 2.0867, 32.0908, 199, 2.0303, 60]]
1	[[360.1741, 353.1216, 7.0525, 1.9581, 8.0278, 115, 3.0706, 14], [360.1807, 238.1099, 122.0708, 33.8915, 0.5043, 80, 2.9764, 5], [457.8911, 452.9405, 4.9506, 1.0812, 41.2946, 220, 2.0588, 64]]
2	[[361.3268, 347.2966, 14.0302, 3.883, 16.1202, 114, 3.0465, 23], [364.0261, 216.1066, 147.9195, 40.6343, 0.4971, 73, 2.9604, 5], [457.187, 455.492, 1.695, 0.3707, 56.1759, 227, 2.0066, 87]]
3	[[360.3115, 356.0726, 4.2389, 1.1765, 6.472, 120, 2.9673, 16], [363.1494, 311.0154, 52.134, 14.3561, 3.338, 102, 3.0492, 6], [393.2954, 387.3679, 5.9275, 1.5071, 21.2241, 198, 1.9564, 42]]
4	[[389.2966, 389.1137, 0.1828, 0.047, 22.4209, 130, 2.9932, 33], [386.5828, 269.421, 117.1618, 30.307, 1.4282, 89, 3.0272, 9], [426.8103, 424.2294, 2.5809, 0.6047, 32.4825, 211, 2.0106, 68]]
5	[[354.5462, 354.1305, 0.4157, 0.1172, 8.1272, 119, 2.9759, 15], [356.8878, 289.1986, 67.6892, 18.9665, 2.0513, 97, 2.9814, 9], [400.528, 397.8684, 2.6596, 0.664, 25.8792, 203, 1.9599, 47]]
6	[[347.5901, 342.0456, 5.5445, 1.5951, 10.594, 112, 3.054, 15], [350.6852, 294.3517, 56.3336, 16.0639, 1.1829, 98, 3.0036, 11], [405.1709, 402.6944, 2.4765, 0.6112, 36.416, 202, 1.9935, 52]]
7	[[345.4953, 331.2302, 14.2651, 4.1289, 6.9705, 111, 2.9841, 12], [347.5378, 286.2152, 61.3226, 17.6449, 2.0933, 94, 3.0448, 10], [403.4064, 401.3617, 2.0447, 0.5069, 28.7013, 206, 1.9484, 52]]
8	[[361.4412, 358.2264, 3.2148, 0.8894, 18.8215, 121, 2.9605, 22], [365.1938, 289.4826, 75.7112, 20.7318, 3.0626, 98, 2.9539, 16], [406.4818, 403.1939, 3.2879, 0.8089, 26.8432, 202, 1.996, 53]]
