Найден на шаге: 131
Энергетическая функция: 0.7484
(0, 0, 0)	(354, 386, 372)	XYZ
(354, 0, 0)	(390, 276, 358)	XYZ
(354, 276, 0)	(379, 375, 248)	XYZ
(354, 276, 248)	(365, 280, 323)	YZX
(0, 0, 372)	(306, 295, 365)	XZY
(354, 0, 358)	(368, 263, 339)	XYZ
(354, 651, 0)	(367, 318, 266)	XYZ
(0, 386, 0)	(334, 276, 286)	YZX
(0, 662, 0)	(305, 283, 304)	XYZ
(354, 651, 266)	(288, 306, 294)	XYZ
(354, 651, 560)	(286, 285, 289)	XZY
(744, 0, 0)	(268, 322, 262)	XYZ
(-1, -1, -1)	(306, 306, 239)	ZXY
(0, 0, 737)	(296, 285, 260)	XYZ
(0, 386, 286)	(268, 268, 302)	XYZ
(-1, -1, -1)	(293, 304, 240)	XYZ
(0, 386, 588)	(265, 254, 307)	ZYX
(744, 0, 262)	(251, 306, 261)	XYZ
(0, 662, 304)	(293, 232, 290)	ZXY
(354, 276, 571)	(238, 274, 286)	XYZ
(354, 0, 697)	(251, 254, 287)	XYZ
(744, 322, 0)	(250, 253, 289)	ZYX
(744, 0, 523)	(218, 304, 275)	ZYX
(-1, -1, -1)	(263, 289, 236)	XYZ
(-1, -1, -1)	(254, 252, 272)	YZX
(-1, -1, -1)	(285, 234, 254)	YZX
(-1, -1, -1)	(277, 236, 257)	XYZ
(0, 662, 594)	(269, 208, 290)	XYZ
(744, 575, 0)	(239, 290, 234)	XYZ
(744, 322, 289)	(249, 240, 269)	XYZ
(-1, -1, -1)	(277, 238, 243)	XYZ
(-1, -1, -1)	(279, 225, 254)	XYZ
(-1, -1, -1)	(262, 278, 217)	YXZ
(744, 575, 234)	(222, 279, 251)	YZX
(744, 322, 558)	(246, 226, 278)	ZXY
(-1, -1, -1)	(300, 235, 217)	YXZ
(-1, -1, -1)	(226, 223, 303)	XYZ
(-1, -1, -1)	(214, 307, 232)	XYZ
(-1, -1, -1)	(247, 245, 244)	XZY
(-1, -1, -1)	(251, 269, 217)	ZYX
(-1, -1, -1)	(231, 223, 284)	ZYX
(744, 0, 798)	(214, 295, 222)	XYZ
(744, 575, 485)	(222, 238, 253)	YXZ
(-1, -1, -1)	(211, 283, 222)	XYZ
(-1, -1, -1)	(235, 234, 234)	XYZ
(744, 575, 738)	(215, 212, 281)	XYZ
(-1, -1, -1)	(212, 205, 211)	XYZ
(744, 322, 836)	(154, 182, 178)	XYZ
(-1, -1, -1)	(153, 182, 179)	XYZ
(354, 276, 857)	(167, 180, 159)	XYZ
(354, 651, 849)	(166, 167, 163)	XYZ
(744, 865, 0)	(151, 159, 183)	XYZ
(-1, -1, -1)	(184, 142, 165)	XZY
(744, 865, 183)	(150, 155, 182)	XYZ
(-1, -1, -1)	(153, 152, 170)	XYZ
(-1, -1, -1)	(174, 127, 176)	XYZ
(-1, -1, -1)	(133, 179, 161)	ZYX
(592, 276, 571)	(120, 181, 176)	XYZ
(0, 662, 884)	(168, 168, 133)	YXZ
(-1, -1, -1)	(129, 181, 158)	XYZ
(-1, -1, -1)	(174, 134, 155)	XYZ
(-1, -1, -1)	(163, 125, 174)	XYZ
(-1, -1, -1)	(147, 163, 147)	XYZ
(-1, -1, -1)	(163, 132, 162)	XYZ
(744, 865, 365)	(141, 147, 166)	XYZ
(0, 386, 895)	(178, 164, 117)	XYZ
(-1, -1, -1)	(129, 176, 143)	XYZ
(-1, -1, -1)	(137, 183, 126)	XYZ
(-1, -1, -1)	(158, 166, 119)	ZXY
(-1, -1, -1)	(183, 144, 114)	XYZ
(-1, -1, -1)	(182, 171, 96)	YZX
(-1, -1, -1)	(175, 148, 115)	YZX
(354, 818, 849)	(157, 112, 167)	YZX
(-1, -1, -1)	(183, 175, 91)	ZYX
(-1, -1, -1)	(135, 165, 130)	XYZ
(-1, -1, -1)	(158, 160, 114)	XYZ
(-1, -1, -1)	(173, 140, 114)	ZYX
(-1, -1, -1)	(155, 134, 130)	XYZ
(-1, -1, -1)	(178, 109, 139)	ZYX
(-1, -1, -1)	(170, 105, 148)	XYZ
(-1, -1, -1)	(155, 132, 129)	XYZ
(605, 0, 697)	(107, 178, 136)	XYZ
(0, 295, 372)	(172, 88, 168)	XYZ
(-1, -1, -1)	(165, 102, 151)	ZXY
(-1, -1, -1)	(121, 173, 121)	XYZ
(-1, -1, -1)	(158, 97, 165)	XYZ
(-1, -1, -1)	(124, 174, 116)	XYZ
(-1, -1, -1)	(122, 151, 135)	XYZ
(592, 276, 747)	(117, 177, 120)	XYZ
(-1, -1, -1)	(152, 163, 100)	ZYX
(605, 0, 833)	(99, 154, 161)	XYZ
(-1, -1, -1)	(154, 184, 85)	XYZ
(354, 556, 248)	(161, 90, 165)	XZY
(520, 651, 849)	(118, 138, 145)	XYZ
(744, 865, 531)	(121, 140, 139)	XYZ
(-1, -1, -1)	(156, 97, 154)	XYZ
(-1, -1, -1)	(146, 130, 122)	XYZ
(-1, -1, -1)	(165, 166, 84)	ZXY
(-1, -1, -1)	(126, 123, 148)	XYZ
(744, 865, 670)	(107, 116, 184)	ZXY
(-1, -1, -1)	(127, 143, 125)	XYZ
(592, 276, 867)	(100, 156, 145)	XYZ
(-1, -1, -1)	(158, 169, 84)	XYZ
(-1, -1, -1)	(183, 100, 122)	ZYX
(-1, -1, -1)	(121, 166, 110)	XYZ
(-1, -1, -1)	(132, 149, 112)	XYZ
(-1, -1, -1)	(154, 173, 82)	XYZ
(-1, -1, -1)	(132, 127, 130)	XYZ
(-1, -1, -1)	(154, 108, 129)	XYZ
(515, 556, 248)	(180, 90, 132)	XYZ
(-1, -1, -1)	(170, 98, 128)	XYZ
(520, 789, 849)	(114, 111, 162)	XZY
(-1, -1, -1)	(135, 125, 120)	XYZ
(-1, -1, -1)	(146, 110, 122)	XYZ
(0, 295, 540)	(161, 88, 138)	ZYX
(0, 550, 895)	(168, 89, 128)	ZXY
(-1, -1, -1)	(93, 127, 161)	XYZ
(354, 456, 857)	(163, 81, 143)	XYZ
(-1, -1, -1)	(169, 93, 119)	XYZ
(-1, -1, -1)	(108, 164, 105)	XYZ
(0, 945, 0)	(140, 75, 177)	XYZ
(744, 865, 854)	(100, 116, 158)	YZX
(-1, -1, -1)	(107, 171, 100)	YXZ
(-1, -1, -1)	(126, 139, 104)	XYZ
(-1, -1, -1)	(104, 147, 117)	XYZ
(-1, -1, -1)	(182, 113, 86)	XYZ
(-1, -1, -1)	(148, 96, 124)	XYZ
(-1, -1, -1)	(152, 166, 68)	XYZ
(168, 662, 884)	(94, 161, 111)	XYZ
(642, 651, 266)	(78, 135, 158)	ZXY
(268, 386, 286)	(59, 167, 168)	YXZ
(-1, -1, -1)	(162, 112, 91)	ZXY
(178, 386, 895)	(81, 161, 126)	YZX
(-1, -1, -1)	(103, 136, 116)	ZYX
(898, 322, 836)	(92, 119, 148)	XYZ
(-1, -1, -1)	(117, 168, 82)	YZX
(895, 865, 0)	(79, 142, 142)	YZX
(-1, -1, -1)	(180, 97, 91)	XYZ
(-1, -1, -1)	(159, 178, 56)	XYZ
(-1, -1, -1)	(184, 140, 61)	XYZ
