0,0,0,11,11,11
11,0,0,12,9,12
0,0,11,11,10,9
0,11,0,11,9,9
11,0,12,12,9,8
0,0,20,11,8,9
0,11,9,8,8,9
0,20,0,8,9,8
0,20,8,8,9,8
0,20,16,7,9,9
11,9,0,9,7,9
11,0,20,7,9,9
11,16,0,9,9,7
0,11,18,8,8,8
11,16,7,8,8,8
23,0,0,7,9,8
11,9,9,9,7,8
11,16,15,7,8,9
11,9,17,9,7,8
23,0,8,7,9,7
23,9,0,7,7,9
23,0,15,7,7,9
23,16,0,7,9,7
23,9,9,7,7,9
23,9,18,7,7,9
23,16,7,7,7,9
23,16,16,7,7,9
11,16,24,6,6,6
18,0,20,5,6,6
0,20,25,6,6,5
11,25,0,5,5,6
11,9,25,6,5,5
11,25,6,5,5,6
23,0,24,6,5,5
23,16,25,5,6,5
23,25,0,6,4,6
11,25,12,5,5,5
23,25,6,6,4,5
0,11,26,5,6,4
8,11,9,3,6,6
16,25,0,4,5,5
11,25,17,5,4,5
18,0,26,5,5,4
16,25,5,4,5,5
11,25,22,5,4,5
16,25,10,4,5,5
16,25,15,4,5,5
23,25,11,5,4,5
23,9,27,5,6,3
0,26,25,6,3,5
8,20,0,3,5,6
16,25,20,4,5,4
16,25,24,4,4,5
23,25,16,4,4,5
23,25,21,4,4,5
18,6,20,5,3,5
8,11,15,3,5,5
18,6,25,5,3,5
8,20,6,3,5,5
8,25,0,3,5,5
8,11,20,3,5,5
8,20,11,3,5,5
5,11,26,3,6,4
20,9,0,3,6,4
20,9,4,3,6,4
23,25,26,4,4,4
8,25,5,3,5,4
11,25,27,5,4,3
8,11,25,3,5,4
0,8,20,5,2,6
8,20,16,3,5,4
5,8,20,5,2,6
8,25,9,3,5,4
20,15,0,3,6,3
11,22,24,4,2,6
20,9,8,2,6,4
8,20,20,3,4,4
8,25,13,3,4,4
23,7,15,4,2,6
8,20,24,3,4,4
8,25,17,3,4,4
8,25,21,3,4,4
8,25,25,3,4,4
20,15,3,3,5,3
20,21,0,3,5,3
8,17,9,3,3,5
20,9,12,2,5,4
11,14,25,4,2,5
23,5,24,4,2,5
23,7,21,4,2,5
20,15,6,2,4,5
20,21,3,2,4,5
8,17,14,3,3,4
20,26,0,3,4,3
17,9,25,3,4,3
20,26,3,3,4,3
8,17,18,3,3,4
28,9,27,2,6,3
28,16,25,2,6,3
8,17,22,3,3,4
20,26,6,3,4,3
8,17,26,3,3,4
20,9,16,2,3,6
17,13,25,3,3,4
20,15,11,2,4,4
0,8,26,4,2,4
5,8,26,4,2,4
20,21,8,2,4,4
20,26,9,3,2,5
20,9,22,2,3,5
20,26,14,3,2,5
0,17,26,5,2,3
20,28,9,3,2,5
20,15,15,2,3,5
20,21,12,2,4,3
23,23,7,6,2,2
8,20,28,3,4,2
23,7,26,4,2,3
5,17,26,3,2,3
20,9,27,2,3,3
17,9,28,3,3,2
20,26,19,3,2,2
20,15,20,2,3,2
15,14,25,2,2,3
