Найден на шаге: 979	Энергетическая функция: 0.7788
(776, 874, 862)	(124, 96, 148)	ZXY
(182, 747, 861)	(68, 166, 152)	ZYX
(541, 888, 681)	(94, 111, 161)	ZXY
(285, 372, 730)	(78, 135, 158)	YZX
(386, 0, 953)	(168, 167, 59)	ZXY
(-1, -1, -1)	(162, 112, 91)	XZY
(0, 926, 861)	(161, 81, 126)	YZX
(386, 888, 749)	(116, 103, 136)	XZY
(-1, -1, -1)	(148, 119, 92)	XZY
(-1, -1, -1)	(168, 82, 117)	YZX
(0, 635, 614)	(142, 79, 142)	ZYX
(647, 174, 541)	(91, 97, 180)	ZYX
(323, 0, 354)	(56, 178, 159)	ZXY
(-1, -1, -1)	(184, 140, 61)	ZXY
(-1, -1, -1)	(166, 102, 92)	ZYX
(-1, -1, -1)	(157, 175, 56)	YXZ
(386, 487, 808)	(184, 52, 159)	ZYX
(0, 635, 756)	(134, 70, 160)	ZYX
(0, 553, 883)	(164, 75, 120)	ZXY
(-1, -1, -1)	(112, 147, 88)	ZYX
(-1, -1, -1)	(176, 111, 74)	ZXY
(669, 276, 431)	(69, 154, 136)	YZX
(647, 174, 721)	(90, 92, 173)	ZXY
(-1, -1, -1)	(117, 75, 163)	ZYX
(323, 178, 354)	(55, 183, 141)	YXZ
(692, 594, 0)	(61, 144, 161)	YXZ
(-1, -1, -1)	(114, 153, 81)	ZYX
(171, 635, 893)	(145, 76, 126)	ZYX
(-1, -1, -1)	(137, 69, 146)	ZYX
(-1, -1, -1)	(115, 149, 80)	XZY
(-1, -1, -1)	(180, 110, 69)	YZX
(669, 442, 266)	(82, 130, 128)	XZY
(-1, -1, -1)	(121, 68, 164)	ZYX
(541, 888, 842)	(86, 86, 182)	YXZ
(776, 523, 520)	(176, 55, 139)	XZY
(-1, -1, -1)	(120, 100, 112)	ZYX
(-1, -1, -1)	(90, 136, 107)	YZX
(-1, -1, -1)	(97, 181, 74)	YZX
(669, 276, 567)	(63, 121, 167)	XYZ
(-1, -1, -1)	(119, 184, 57)	ZXY
(386, 888, 885)	(93, 99, 135)	YZX
(-1, -1, -1)	(160, 122, 63)	XYZ
(776, 746, 773)	(151, 64, 127)	XZY
(-1, -1, -1)	(172, 100, 71)	YZX
(669, 442, 394)	(70, 107, 163)	YZX
(591, 276, 808)	(62, 160, 122)	XYZ
(939, 306, 820)	(72, 177, 94)	XYZ
(-1, -1, -1)	(145, 112, 73)	ZXY
(-1, -1, -1)	(83, 115, 124)	ZXY
(591, 436, 808)	(62, 124, 148)	YZX
(669, 276, 734)	(62, 111, 162)	XYZ
(-1, -1, -1)	(95, 101, 111)	XZY
(923, 874, 0)	(72, 141, 101)	XYZ
(176, 536, 883)	(99, 83, 122)	ZYX
(-1, -1, -1)	(115, 101, 85)	XZY
(285, 535, 587)	(77, 89, 142)	ZXY
(182, 913, 861)	(65, 96, 155)	ZXY
(776, 595, 956)	(128, 116, 64)	YXZ
(-1, -1, -1)	(105, 96, 94)	XYZ
(-1, -1, -1)	(98, 166, 58)	ZXY
(-1, -1, -1)	(160, 75, 78)	YXZ
(-1, -1, -1)	(139, 77, 87)	YXZ
(-1, -1, -1)	(118, 103, 76)	YXZ
(323, 0, 513)	(56, 92, 179)	ZYX
(-1, -1, -1)	(96, 131, 73)	YZX
(323, 178, 495)	(55, 119, 140)	ZYX
(386, 167, 953)	(167, 83, 66)	XYZ
(-1, -1, -1)	(74, 154, 80)	XZY
(-1, -1, -1)	(118, 82, 94)	YZX
(285, 372, 888)	(76, 107, 111)	ZYX
(-1, -1, -1)	(117, 67, 113)	YZX
(-1, -1, -1)	(106, 80, 104)	ZYX
(-1, -1, -1)	(88, 161, 62)	XZY
(-1, -1, -1)	(121, 88, 81)	XYZ
(692, 738, 0)	(56, 176, 87)	XZY
(-1, -1, -1)	(157, 101, 54)	ZYX
(923, 874, 101)	(69, 126, 96)	ZXY
(-1, -1, -1)	(85, 99, 99)	YXZ
(-1, -1, -1)	(81, 98, 104)	ZYX
(776, 746, 900)	(111, 64, 115)	YZX
(-1, -1, -1)	(146, 78, 71)	YZX
(692, 594, 161)	(59, 134, 102)	XZY
(-1, -1, -1)	(182, 67, 63)	XZY
(776, 523, 659)	(151, 55, 92)	YZX
(-1, -1, -1)	(140, 79, 69)	ZXY
(-1, -1, -1)	(84, 101, 89)	XYZ
(-1, -1, -1)	(115, 91, 72)	XZY
(669, 442, 557)	(62, 91, 132)	XYZ
(939, 306, 914)	(63, 141, 82)	YZX
(0, 635, 916)	(101, 69, 104)	ZXY
(-1, -1, -1)	(78, 101, 90)	XZY
(323, 178, 635)	(54, 96, 129)	XZY
(-1, -1, -1)	(108, 85, 71)	XZY
(554, 0, 953)	(60, 168, 63)	YXZ
(-1, -1, -1)	(105, 72, 81)	XZY
(285, 535, 729)	(62, 57, 171)	XYZ
(647, 174, 894)	(75, 90, 89)	XZY
(568, 762, 831)	(77, 82, 94)	YZX
(-1, -1, -1)	(85, 94, 72)	ZXY
(-1, -1, -1)	(92, 105, 59)	ZYX
(669, 442, 689)	(60, 70, 131)	XZY
(-1, -1, -1)	(80, 67, 101)	XZY
(386, 748, 959)	(134, 75, 53)	YZX
(-1, -1, -1)	(90, 95, 62)	XZY
(323, 0, 692)	(53, 54, 185)	YXZ
(323, 92, 513)	(55, 86, 111)	YZX
(-1, -1, -1)	(81, 86, 75)	YZX
(-1, -1, -1)	(79, 116, 56)	XZY
(776, 523, 751)	(83, 52, 116)	YZX
(591, 276, 930)	(57, 151, 57)	XZY
(-1, -1, -1)	(99, 76, 65)	XYZ
(-1, -1, -1)	(147, 57, 58)	ZYX
(-1, -1, -1)	(111, 69, 57)	YZX
(568, 762, 925)	(69, 64, 97)	ZYX
(923, 874, 197)	(64, 104, 64)	ZXY
(-1, -1, -1)	(68, 67, 91)	ZXY
(692, 594, 263)	(59, 59, 119)	ZXY
(386, 487, 967)	(150, 52, 53)	YXZ
(-1, -1, -1)	(79, 58, 86)	YXZ
(923, 874, 261)	(64, 79, 74)	ZXY
(-1, -1, -1)	(99, 56, 66)	ZXY
(285, 535, 900)	(60, 54, 94)	YZX
(-1, -1, -1)	(103, 52, 54)	YXZ
(-1, -1, -1)	(65, 56, 75)	ZXY
