Найден на шаге: 89	Энергетическая функция: 0.730538701638579
(0, 0, 0)	(354, 386, 372)	XYZ
(354, 0, 0)	(390, 276, 358)	XYZ
(354, 276, 0)	(379, 375, 248)	XYZ
(0, 0, 372)	(323, 365, 280)	XYZ
(0, 386, 0)	(306, 365, 295)	XYZ
(354, 0, 358)	(368, 263, 339)	XYZ
(354, 276, 248)	(266, 367, 318)	ZXY
(354, 651, 0)	(334, 286, 276)	XYZ
(0, 0, 652)	(305, 283, 304)	XYZ
(0, 386, 295)	(288, 306, 294)	XYZ
(0, 386, 589)	(286, 289, 285)	XYZ
(744, 0, 0)	(268, 322, 262)	XYZ
(0, 751, 0)	(306, 239, 306)	XYZ
(354, 651, 276)	(296, 285, 260)	XYZ
(-1, -1, -1)	(302, 268, 268)	ZXY
(-1, -1, -1)	(293, 304, 240)	XYZ
(354, 0, 697)	(307, 254, 265)	XYZ
(354, 276, 566)	(261, 306, 251)	ZYX
(744, 0, 262)	(232, 293, 290)	XZY
(354, 651, 536)	(238, 274, 286)	XYZ
(744, 322, 0)	(251, 254, 287)	XYZ
(-1, -1, -1)	(289, 253, 250)	XYZ
(-1, -1, -1)	(275, 304, 218)	XYZ
(744, 576, 0)	(236, 289, 263)	ZYX
(-1, -1, -1)	(252, 254, 272)	XYZ
(744, 576, 263)	(234, 285, 254)	ZYX
(0, 751, 306)	(277, 236, 257)	XYZ
(-1, -1, -1)	(269, 290, 208)	ZXY
(-1, -1, -1)	(239, 290, 234)	XYZ
(744, 322, 287)	(249, 240, 269)	XYZ
(-1, -1, -1)	(243, 277, 238)	ZXY
(-1, -1, -1)	(279, 225, 254)	XYZ
(-1, -1, -1)	(278, 262, 217)	XYZ
(744, 0, 552)	(222, 251, 279)	YXZ
(744, 576, 517)	(226, 278, 246)	XYZ
(0, 751, 563)	(235, 217, 300)	XYZ
(744, 322, 556)	(226, 223, 303)	XYZ
(-1, -1, -1)	(214, 232, 307)	XZY
(-1, -1, -1)	(247, 244, 245)	XYZ
(-1, -1, -1)	(251, 269, 217)	YXZ
(-1, -1, -1)	(223, 284, 231)	YXZ
(-1, -1, -1)	(295, 214, 222)	YXZ
(-1, -1, -1)	(238, 222, 253)	XYZ
(-1, -1, -1)	(211, 283, 222)	XYZ
(-1, -1, -1)	(235, 234, 234)	XYZ
(-1, -1, -1)	(215, 212, 281)	XYZ
(744, 576, 763)	(212, 205, 211)	XYZ
(354, 276, 817)	(154, 182, 178)	XYZ
(0, 751, 863)	(179, 182, 153)	XYZ
(354, 651, 822)	(167, 180, 159)	XYZ
(744, 0, 831)	(166, 167, 163)	XYZ
(744, 865, 0)	(151, 159, 183)	XYZ
(0, 386, 874)	(184, 165, 142)	XZY
(744, 865, 183)	(150, 155, 182)	XYZ
(-1, -1, -1)	(153, 152, 170)	XYZ
(-1, -1, -1)	(174, 127, 176)	XYZ
(744, 322, 859)	(179, 133, 161)	YZX
(-1, -1, -1)	(120, 181, 176)	XYZ
(-1, -1, -1)	(168, 168, 133)	XYZ
(-1, -1, -1)	(129, 181, 158)	XYZ
(-1, -1, -1)	(174, 134, 155)	XYZ
(-1, -1, -1)	(174, 163, 125)	XZY
(-1, -1, -1)	(147, 163, 147)	XYZ
(-1, -1, -1)	(163, 132, 162)	XYZ
(744, 865, 365)	(141, 147, 166)	XYZ
(-1, -1, -1)	(178, 164, 117)	XYZ
(-1, -1, -1)	(129, 176, 143)	XYZ
(-1, -1, -1)	(137, 183, 126)	XYZ
(-1, -1, -1)	(158, 166, 119)	XYZ
(0, 551, 874)	(183, 114, 144)	XZY
(620, 276, 248)	(96, 182, 171)	XYZ
(-1, -1, -1)	(175, 148, 115)	XYZ
(-1, -1, -1)	(167, 157, 112)	XYZ
(620, 276, 419)	(91, 175, 183)	XYZ
(-1, -1, -1)	(135, 165, 130)	XYZ
(-1, -1, -1)	(160, 114, 158)	ZXY
(744, 865, 531)	(114, 140, 173)	XYZ
(-1, -1, -1)	(155, 134, 130)	XYZ
(354, 458, 817)	(139, 109, 178)	XYZ
(-1, -1, -1)	(170, 148, 105)	XYZ
(-1, -1, -1)	(155, 132, 129)	XYZ
(508, 276, 817)	(107, 178, 136)	XYZ
(-1, -1, -1)	(172, 88, 168)	XYZ
(-1, -1, -1)	(102, 151, 165)	XYZ
(-1, -1, -1)	(121, 173, 121)	XYZ
(-1, -1, -1)	(97, 158, 165)	YXZ
(-1, -1, -1)	(124, 174, 116)	XYZ
(-1, -1, -1)	(122, 151, 135)	XYZ
(-1, -1, -1)	(117, 177, 120)	XYZ
(-1, -1, -1)	(100, 152, 163)	XZY
(-1, -1, -1)	(99, 154, 161)	XYZ
(-1, -1, -1)	(154, 184, 85)	XYZ
(-1, -1, -1)	(161, 165, 90)	XYZ
(-1, -1, -1)	(118, 138, 145)	XYZ
(-1, -1, -1)	(121, 140, 139)	XYZ
(-1, -1, -1)	(156, 97, 154)	XYZ
(-1, -1, -1)	(146, 130, 122)	XYZ
(354, 937, 0)	(166, 84, 165)	XYZ
(-1, -1, -1)	(126, 123, 148)	XYZ
(508, 454, 817)	(107, 116, 184)	YZX
(-1, -1, -1)	(143, 125, 127)	YZX
(184, 386, 874)	(100, 156, 145)	XYZ
(-1, -1, -1)	(158, 169, 84)	XYZ
(-1, -1, -1)	(122, 100, 183)	XYZ
(-1, -1, -1)	(110, 166, 121)	ZYX
(-1, -1, -1)	(132, 149, 112)	XYZ
(-1, -1, -1)	(154, 173, 82)	XYZ
(-1, -1, -1)	(127, 132, 130)	YXZ
(-1, -1, -1)	(154, 108, 129)	XYZ
(-1, -1, -1)	(180, 90, 132)	XYZ
(-1, -1, -1)	(128, 98, 170)	ZYX
(-1, -1, -1)	(114, 162, 111)	XYZ
(-1, -1, -1)	(120, 135, 125)	ZXY
(-1, -1, -1)	(146, 110, 122)	XYZ
(354, 831, 822)	(138, 88, 161)	XYZ
(-1, -1, -1)	(128, 168, 89)	XYZ
(620, 458, 248)	(93, 127, 161)	XYZ
(0, 283, 652)	(163, 81, 143)	XYZ
(-1, -1, -1)	(119, 169, 93)	ZXY
(-1, -1, -1)	(108, 164, 105)	XYZ
(163, 283, 652)	(140, 75, 177)	XYZ
(744, 865, 704)	(100, 116, 158)	YZX
(-1, -1, -1)	(171, 107, 100)	XYZ
(-1, -1, -1)	(126, 139, 104)	XYZ
(-1, -1, -1)	(104, 147, 117)	XYZ
(-1, -1, -1)	(182, 113, 86)	XYZ
(-1, -1, -1)	(148, 124, 96)	XZY
(0, 0, 956)	(152, 166, 68)	XYZ
(744, 865, 862)	(94, 111, 161)	XZY
(-1, -1, -1)	(135, 158, 78)	XYZ
(0, 692, 295)	(167, 59, 168)	XYZ
(620, 276, 602)	(91, 162, 112)	XYZ
(0, 283, 795)	(126, 81, 161)	XYZ
(-1, -1, -1)	(116, 136, 103)	XYZ
(184, 542, 874)	(92, 119, 148)	XYZ
(620, 458, 409)	(82, 117, 168)	XYZ
(520, 937, 0)	(142, 79, 142)	XYZ
(-1, -1, -1)	(180, 97, 91)	XYZ
(354, 0, 962)	(159, 178, 56)	XYZ
