Найден на шаге: 282	Энергетическая функция: 0.7686453666538
(0, 0, 0)	(354, 386, 372)	XYZ
(0, 0, 372)	(276, 358, 390)	ZYX
(354, 0, 0)	(379, 375, 248)	XYZ
(0, 386, 0)	(323, 365, 280)	XYZ
(0, 386, 280)	(295, 365, 306)	ZYX
(354, 0, 248)	(368, 263, 339)	XYZ
(354, 375, 0)	(367, 318, 266)	YZX
(354, 375, 266)	(334, 286, 276)	XYZ
(354, 693, 0)	(305, 283, 304)	XYZ
(0, 386, 586)	(288, 306, 294)	XYZ
(354, 375, 542)	(285, 286, 289)	ZXY
(0, 751, 0)	(322, 262, 268)	YZX
(0, 751, 268)	(306, 239, 306)	XYZ
(-1, -1, -1)	(296, 285, 260)	XYZ
(354, 693, 304)	(302, 268, 268)	ZYX
(-1, -1, -1)	(293, 304, 240)	XYZ
(354, 0, 587)	(265, 254, 307)	YZX
(0, 0, 762)	(251, 306, 261)	XYZ
(0, 751, 574)	(293, 232, 290)	YZX
(733, 0, 0)	(286, 274, 238)	ZYX
(354, 693, 572)	(251, 254, 287)	XYZ
(733, 0, 238)	(250, 253, 289)	ZYX
(733, 274, 0)	(275, 218, 304)	XZY
(733, 492, 0)	(263, 289, 236)	XYZ
(-1, -1, -1)	(272, 252, 254)	YXZ
(733, 492, 236)	(254, 285, 234)	XYZ
(733, 781, 0)	(257, 236, 277)	ZYX
(733, 274, 304)	(269, 208, 290)	XYZ
(-1, -1, -1)	(239, 290, 234)	XYZ
(733, 0, 527)	(249, 240, 269)	XYZ
(733, 492, 470)	(238, 277, 243)	YZX
(733, 781, 277)	(254, 225, 279)	ZYX
(-1, -1, -1)	(278, 262, 217)	XYZ
(733, 492, 713)	(222, 251, 279)	YXZ
(-1, -1, -1)	(226, 278, 246)	XYZ
(733, 781, 556)	(235, 217, 300)	XYZ
(-1, -1, -1)	(223, 226, 303)	YXZ
(-1, -1, -1)	(214, 232, 307)	ZXY
(-1, -1, -1)	(247, 244, 245)	YZX
(-1, -1, -1)	(217, 269, 251)	ZXY
(-1, -1, -1)	(231, 223, 284)	ZXY
(-1, -1, -1)	(214, 295, 222)	XYZ
(-1, -1, -1)	(222, 238, 253)	YXZ
(-1, -1, -1)	(211, 283, 222)	XYZ
(-1, -1, -1)	(235, 234, 234)	XZY
(-1, -1, -1)	(212, 215, 281)	YXZ
(733, 0, 796)	(212, 205, 211)	XYZ
(354, 375, 831)	(154, 182, 178)	XYZ
(0, 751, 864)	(179, 182, 153)	XYZ
(354, 693, 859)	(180, 167, 159)	YXZ
(733, 274, 594)	(163, 167, 166)	ZYX
(733, 274, 760)	(151, 159, 183)	YXZ
(-1, -1, -1)	(142, 165, 184)	YZX
(-1, -1, -1)	(155, 150, 182)	ZYX
(-1, -1, -1)	(152, 153, 170)	YXZ
(0, 386, 880)	(174, 176, 127)	ZXY
(733, 781, 856)	(161, 179, 133)	XYZ
(508, 375, 831)	(120, 181, 176)	XYZ
(-1, -1, -1)	(168, 133, 168)	ZYX
(354, 0, 894)	(181, 158, 129)	YZX
(-1, -1, -1)	(174, 134, 155)	XYZ
(-1, -1, -1)	(174, 163, 125)	XZY
(-1, -1, -1)	(163, 147, 147)	YZX
(-1, -1, -1)	(162, 132, 163)	ZYX
