Найден на шаге: 993	Энергетическая функция: 0.7817
(-1, -1, -1)	(86, 182, 113)	ZXY
(-1, -1, -1)	(96, 124, 148)	YZX
(0, 669, 435)	(166, 68, 152)	YZX
(-1, -1, -1)	(111, 94, 161)	ZYX
(-1, -1, -1)	(135, 158, 78)	YXZ
(212, 751, 812)	(59, 168, 167)	XYZ
(-1, -1, -1)	(91, 162, 112)	XYZ
(641, 276, 482)	(81, 126, 161)	ZXY
(-1, -1, -1)	(136, 116, 103)	XZY
(-1, -1, -1)	(119, 148, 92)	YZX
(177, 669, 295)	(117, 82, 168)	XYZ
(744, 925, 512)	(142, 79, 142)	ZYX
(-1, -1, -1)	(180, 91, 97)	YXZ
(-1, -1, -1)	(178, 159, 56)	YXZ
(-1, -1, -1)	(184, 61, 140)	ZYX
(-1, -1, -1)	(92, 166, 102)	ZYX
(-1, -1, -1)	(175, 157, 56)	ZXY
(-1, -1, -1)	(159, 184, 52)	YXZ
(744, 925, 654)	(134, 70, 160)	XZY
(-1, -1, -1)	(164, 120, 75)	XYZ
(-1, -1, -1)	(147, 88, 112)	YZX
(177, 669, 463)	(111, 74, 176)	YZX
(648, 539, 266)	(69, 154, 136)	XYZ
(-1, -1, -1)	(90, 173, 92)	XZY
(639, 0, 898)	(75, 163, 117)	YZX
(-1, -1, -1)	(183, 141, 55)	XZY
(0, 669, 587)	(161, 61, 144)	YZX
(354, 857, 871)	(114, 81, 153)	YXZ
(-1, -1, -1)	(76, 145, 126)	XZY
(648, 539, 402)	(69, 146, 137)	ZYX
(0, 184, 938)	(149, 115, 80)	XZY
(154, 0, 938)	(110, 180, 69)	ZXY
(-1, -1, -1)	(130, 128, 82)	XZY
(744, 925, 814)	(121, 68, 164)	YZX
(-1, -1, -1)	(86, 182, 86)	ZYX
(648, 693, 266)	(55, 139, 176)	XZY
(-1, -1, -1)	(100, 120, 112)	YXZ
(-1, -1, -1)	(107, 136, 90)	ZXY
(641, 439, 339)	(74, 97, 181)	XZY
(641, 276, 643)	(63, 121, 167)	XYZ
(641, 276, 810)	(57, 119, 184)	ZYX
(-1, -1, -1)	(99, 135, 93)	YXZ
(-1, -1, -1)	(160, 63, 122)	YXZ
(-1, -1, -1)	(151, 127, 64)	XYZ
(910, 0, 848)	(71, 100, 172)	XZY
(910, 100, 848)	(70, 107, 163)	YXZ
(-1, -1, -1)	(122, 160, 62)	ZXY
(641, 439, 520)	(72, 94, 177)	YZX
(-1, -1, -1)	(112, 145, 73)	YZX
(-1, -1, -1)	(115, 124, 83)	YXZ
(-1, -1, -1)	(124, 148, 62)	XYZ
(177, 669, 639)	(111, 62, 162)	YXZ
(-1, -1, -1)	(101, 111, 95)	YZX
(-1, -1, -1)	(141, 101, 72)	ZYX
(-1, -1, -1)	(83, 99, 122)	ZYX
