Найден на шаге: 93
Энергетическая функция: 0.8923
(0, 0, 0)	(11, 11, 11)	XYZ
(11, 0, 0)	(12, 9, 12)	XYZ
(0, 0, 11)	(11, 10, 9)	XYZ
(0, 11, 0)	(11, 9, 9)	XYZ
(0, 11, 9)	(8, 9, 12)	ZYX
(0, 20, 0)	(8, 9, 11)	XYZ
(0, 0, 20)	(8, 8, 9)	XYZ
(0, 11, 21)	(8, 9, 8)	XYZ
(0, 20, 11)	(8, 9, 8)	YXZ
(11, 0, 12)	(9, 7, 9)	XYZ
(0, 20, 19)	(7, 9, 9)	XYZ
(11, 9, 0)	(7, 9, 9)	XYZ
(11, 9, 9)	(7, 9, 9)	ZXY
(-1, -1, -1)	(8, 8, 8)	XYZ
(-1, -1, -1)	(8, 8, 8)	XYZ
(-1, -1, -1)	(8, 9, 7)	XZY
(11, 0, 21)	(8, 7, 9)	XYZ
(11, 18, 0)	(7, 8, 9)	XYZ
(-1, -1, -1)	(8, 9, 7)	XYZ
(11, 9, 18)	(7, 8, 9)	XYZ
(-1, -1, -1)	(8, 7, 9)	YZX
(-1, -1, -1)	(9, 7, 8)	XYZ
(11, 18, 9)	(7, 8, 8)	ZYX
(-1, -1, -1)	(8, 7, 8)	XYZ
(-1, -1, -1)	(8, 7, 8)	XYZ
(-1, -1, -1)	(8, 7, 8)	XYZ
(-1, -1, -1)	(8, 8, 7)	XYZ
(-1, -1, -1)	(8, 8, 7)	XYZ
(11, 18, 17)	(7, 7, 9)	XYZ
(23, 0, 0)	(7, 7, 9)	XYZ
(23, 0, 9)	(7, 7, 9)	XYZ
(23, 7, 0)	(7, 7, 9)	XYZ
(-1, -1, -1)	(9, 7, 7)	XYZ
(23, 0, 18)	(7, 7, 9)	YZX
(23, 7, 9)	(7, 7, 9)	XYZ
(23, 14, 0)	(7, 7, 9)	XYZ
(23, 21, 0)	(7, 9, 7)	XYZ
(23, 7, 18)	(7, 7, 8)	XYZ
(23, 14, 9)	(7, 7, 7)	XYZ
(23, 14, 16)	(6, 6, 6)	XYZ
(23, 21, 7)	(6, 5, 6)	ZXY
(23, 14, 22)	(6, 6, 5)	YXZ
(18, 9, 0)	(5, 5, 6)	XYZ
(23, 21, 13)	(6, 5, 5)	YZX
(18, 9, 6)	(5, 5, 6)	XYZ
(18, 14, 0)	(5, 5, 6)	XYZ
(18, 19, 0)	(5, 6, 5)	XYZ
(11, 26, 0)	(6, 4, 6)	XYZ
(18, 9, 12)	(5, 5, 5)	XYZ
(18, 14, 6)	(4, 5, 6)	XYZ
(18, 9, 17)	(4, 5, 6)	XYZ
(8, 0, 20)	(3, 6, 6)	XYZ
(18, 14, 12)	(4, 5, 5)	XYZ
(11, 26, 6)	(5, 4, 5)	XYZ
(18, 19, 5)	(4, 5, 5)	ZXY
(18, 25, 0)	(5, 5, 4)	XZY
(11, 18, 26)	(5, 5, 4)	XYZ
(11, 26, 11)	(5, 4, 5)	XYZ
(18, 25, 4)	(5, 5, 4)	XYZ
(18, 9, 23)	(4, 5, 5)	ZXY
(18, 25, 8)	(5, 5, 4)	YZX
(18, 14, 17)	(4, 5, 5)	YXZ
(18, 19, 10)	(4, 4, 6)	XYZ
(23, 26, 7)	(6, 3, 5)	XYZ
(11, 9, 27)	(5, 6, 3)	XYZ
(23, 21, 18)	(6, 3, 5)	XYZ
(8, 11, 9)	(3, 5, 6)	XYZ
(23, 0, 27)	(6, 5, 3)	XYZ
(23, 26, 12)	(6, 3, 5)	XYZ
(11, 26, 16)	(4, 4, 5)	XYZ
(18, 14, 22)	(4, 5, 4)	XYZ
(18, 19, 16)	(4, 4, 5)	XYZ
(18, 14, 26)	(4, 5, 4)	ZXY
(11, 26, 21)	(4, 4, 5)	XYZ
(18, 25, 12)	(4, 5, 4)	ZYX
(18, 19, 21)	(4, 4, 5)	XYZ
(18, 25, 16)	(4, 5, 4)	XYZ
(18, 25, 20)	(4, 5, 4)	XYZ
(23, 7, 26)	(5, 4, 4)	XYZ
(18, 25, 24)	(4, 5, 4)	XYZ
(-1, -1, -1)	(4, 4, 5)	XYZ
(23, 21, 23)	(5, 3, 5)	XYZ
(23, 26, 17)	(5, 3, 5)	XYZ
(23, 14, 27)	(5, 5, 3)	ZXY
(8, 20, 0)	(3, 5, 5)	XYZ
(23, 26, 22)	(5, 3, 5)	XYZ
(-1, -1, -1)	(5, 5, 3)	XYZ
(-1, -1, -1)	(5, 5, 3)	XYZ
(-1, -1, -1)	(5, 3, 5)	XYZ
(8, 11, 15)	(3, 5, 5)	XYZ
(-1, -1, -1)	(5, 5, 3)	XYZ
(8, 20, 5)	(3, 5, 5)	XYZ
(-1, -1, -1)	(5, 5, 3)	XYZ
(-1, -1, -1)	(5, 3, 5)	XYZ
(8, 25, 0)	(3, 5, 5)	XYZ
